Time standalone:
Teste 1: 0.00013375282287597656
Teste 2: 9.441375732421875e-05
Teste 3: 8.988380432128906e-05
Teste 4: 8.487701416015625e-05
Teste 5: 8.58306884765625e-05
Teste 6: 0.00018453598022460938
Teste 7: 0.00010204315185546875
Teste 8: 0.00013113021850585938
Teste 9: 8.702278137207031e-05
Teste 10: 9.059906005859375e-05
Teste 11: 0.00013017654418945312
Teste 12: 0.00014853477478027344
Teste 13: 0.00012922286987304688
Teste 14: 0.00022339820861816406
Teste 15: 0.0001914501190185547
Teste 16: 0.0001442432403564453
Teste 17: 0.0001354217529296875
Teste 18: 0.00013327598571777344
Teste 19: 0.0003390312194824219
Teste 20: 0.00015974044799804688
Teste 21: 0.00032401084899902344
Teste 22: 0.00027298927307128906
Teste 23: 0.0003447532653808594
Teste 24: 0.00029850006103515625
Teste 25: 0.00024890899658203125
Teste 26: 0.0004372596740722656
Teste 27: 0.0003273487091064453
Teste 28: 0.00026917457580566406
Teste 29: 0.0004017353057861328
Teste 30: 0.00027370452880859375
Time SD:
Teste 1: 0.0022957324981689453
Teste 2: 0.0022957324981689453
Teste 3: 0.0022957324981689453
Teste 4: 0.0022957324981689453
Teste 5: 0.0022957324981689453
Teste 6: 0.0017287254333496094
Teste 7: 0.0017287254333496094
Teste 8: 0.0017287254333496094
Teste 9: 0.0017287254333496094
Teste 10: 0.0017287254333496094
Teste 11: 0.002042818069458008
Teste 12: 0.002042818069458008
Teste 13: 0.002042818069458008
Teste 14: 0.002042818069458008
Teste 15: 0.002042818069458008
Teste 16: 0.0025367259979248045
Teste 17: 0.0025367259979248045
Teste 18: 0.0025367259979248045
Teste 19: 0.0025367259979248045
Teste 20: 0.0025367259979248045
Teste 21: 0.0026397228240966795
Teste 22: 0.0026397228240966795
Teste 23: 0.0026397228240966795
Teste 24: 0.0026397228240966795
Teste 25: 0.0026397228240966795
Teste 26: 0.00305323600769043
Teste 27: 0.00305323600769043
Teste 28: 0.00305323600769043
Teste 29: 0.00305323600769043
Teste 30: 0.00305323600769043
